ID,Command,CharacterName,Sentence
,SHOW_PORTRAIT:GOD3,,,,
1,,神様,お主、何をしておるのじゃ、寿命がもうないんじゃぞ
2,,,いつも偉そうなその声に、今は焦りが混じっている気がした。
3,,,俺は鼻で笑い、吐き捨てる。
4,,俺,うるせぇ！
5,,,神様の忠告を無視して、俺はあえて寿命がなくなるその瞬間ベッドに潜り込む。
6,,,寿命のカウントがゼロになる――その刹那。
,CHANGE_BG:8時,,
7,,,部屋中にけたたましいアラーム音が響き渡った。
8,,,8時を示すその時計が、現実へと俺を引き戻す。
9,,神様,くっ…！アラームごときに…！
,HIDE_PORTRAIT,,,,
51,FORCE_TIME_UP,,
10,,,声は次第に遠のき、世界は一気に朝の光に包まれていった。
11,,,目を開けると、俺は自分の部屋にいた。
12,,,布団の感触、カーテン越しの柔らかな光――すべてが現実だった。
13,,,――あの“寿命1分”の恐怖は、すべて神様が見せた夢だったのだ。
14,,,本当は寿命が尽きるなんてことはなく、あの神様とやらはただ俺の右往左往する姿を見て楽しんでいただけらしい。
15,,,俺はふと、あの神様の笑みを思い出し、少しだけ苦笑した。
,CHANGE_BG:リビング,,
16,,,ーー数日後
17,,,受話器を手に取り、母に電話をかける。
18,,俺,おはよう、お母さん誕生日おめでとう。帰りケーキ買ってそっち寄ってく。
19,,母,え、ありがとう！家に来るなら夕飯も奮発しようかしら。
20,,,母の柔らかい声が耳に届き、自然と顔がほころぶ。
,CHANGE_BG:住宅,,
21,,,電話を切った後、とある女の子と待ち合わせたカフェへ向かった。
22,,,外の光は暖かく、通りのざわめきも心地いい。
23,,,ゆったりと歩きながら俺はふと思う。
24,,,あの夢の中のたった1分が、どれほど重く、どれほど焦燥に満ちていたか。
25,,,神様に振り回され、右往左往したその時間は、現実ではほんの一瞬だった。
26,,,だが、たった1分で世界は変わる。
27,,,母の優しい声、好きな人と笑い合う声、ふわりと香るケーキの匂い、ガチャで当たった小さな喜び
28,,,――すべてが、1分ごとに積み重なっている。
29,,,沢山の1分――ワンミニッツは、焦りや恐怖を抱える時間にもなれば、感謝や幸せを味わう時間にもなる。
30,,,今日という1分も、明日という1分も、積み重ねれば日常の輝きになる
31,,,――そう思うと、息を整えて歩き出す足取りが、いつもより少し軽く感じられた。
32,,,ま、それはそれとして
33,,俺,ゆっくりできるって最高！
34,,,ーーTRUE END
35,,,
