ID,Command,CharacterName,Sentence
,,,考えるより先に、胃袋が答えた。
,,俺,最後はケーキ食って死にたいッ！
,,,だがショーウィンドウに映る自分を見て、一瞬固まる。寝ぐせで髪は爆発。服は上下パジャマ。足元はサンダル。
,,俺,まあいい。どうせ一分後に死ぬんだ。おしゃれなんか気にしてられない！
,,,財布を開く。中には諭吉が数枚、光っている。
,,俺,これが天啓だ。神は俺にホールケーキを食えと言っている！
,,,サンダルの音を響かせ、ダッシュで近所の有名洋菓子店へ。通りすがりの人たちが振り返る。
,,通行人１,パジャマ！？
,,通行人２,逃げてきたの？
,,通行人３,撮影だろ？
,,,いいや、違う。ホールケーキを食べたいだけだ。
,,俺,すいません。一番高いのをくださいッ！
,,店員,えっと、こちらのホールケーキ丸ごと一つですね。少々お時間をいただけますか？
,,俺,急いでるんですが…
,,店員,こちら、作ってからだいぶ時間がたってしまったので、注文された方には出来立ての新しいものをお作りしているんです。
,,俺,いや、いい！これでいい！これをください！
,,,オレの剣幕に、店員は少し戸惑った顔を見せる。
,,店員,えっ？ですが作り立てのほうが…
,,俺,いいから！時間がないんだ！オレにはこれが最高なんだ！頼む！
,,,オレはカウンターに身を乗り出し、懇願するように頼んだ。
,,店員,そこまで言われたら…
,,,"店員は苦笑しつつ、箱を差し出す。中から現れたのは宝石のような苺が並ぶ超高級ホールケーキ。
"
,,俺,うおお……眩しい！
,,,"値段は見ない。全財産使い切ったっていい。外のベンチに腰を下ろし、箱を開く。甘い香りが風に広がる。
"
,,俺,おおおおお……俺の人生で一番光ってるケーキだ！
,,,フォークを握りしめ、構える。
,,俺,これが、最後の武器……！
,,,ひと口、ぱくっ。
,,俺,うまぁぁぁぁ！ 砂糖の暴力だ！ でもいい！ 今、幸せだ！
,,隣の女性,お兄さん！？ そんなペースで食べたら胃が――
,,俺,胃もたれ？ 怖くない！ どうせすぐに死ぬんだからなッ！
,,,二口、三口。ケーキはどんどん減っていく。
,,俺,甘さで脳がシビれる！ でもフォークが止まらねぇぇ！
,,,隣の女性が半泣きになりながら
,,隣の女性,やめて！本当に倒れるから！
,,,と心配している。
,,俺,",,,,,ありがとう。でも今は譲れないんだ。"
,,,マイペースな女性の声が聞こえる。
,,メイペースな女性,"わかるわぁ,,,,,,私も昔やけ食いでホールケーキ完食しようとしたのよねぇ。"
,,,".....今はケーキに夢中なのだ。構っている暇はない。半分、三分の二。残り時間と同じように、ケーキも消えゆく。
"
,,俺,"よし、最後の一口。これで人生を完食,,,！"
,,,そして。フォークを構えたまま、世界が暗くなっていく。イチゴは口に届かず、宙に浮く。
,,俺,え、ちょ……せめて後一口食わせろおおお！
,,,焦る気持ちも、口の中に広がる甘ったるさも、霞に溶けていった。
,,,ーーNORMAL END
