ID,Command,CharacterName,Sentence
1,,,考えるより先に、胃袋が答えた。
2,,俺,最後はケーキ食って死にたいッ！
3,,,だがショーウィンドウに映る自分を見て、一瞬固まる。
4,,,寝ぐせがひどく、髪は爆発。服は上下パジャマ。足元はサンダル。
5,,俺,まあいい。どうせ1分後に死ぬんだ。おしゃれなんか気にしてられない！
6,,,財布を開く。中には諭吉が数枚、光っている。
7,,俺,これが天啓だ。神は俺にホールケーキを食えと言っている！
8,,,サンダルの音を響かせ、ダッシュで近所の有名洋菓子店へ。
9,,,通りすがりの人たちが振り返る。
10,,通行人１,パジャマ！？
11,,通行人２,逃げてきたの？
12,,通行人３,撮影だろ？
13,,,いいや、違う。ホールケーキを食べたいだけだ。
,CHANGE_BG:ケーキ屋,,
14,,俺,すいません。一番高いのをくださいッ！
15,,店員,えっと、こちらのホールケーキ丸ごと一つですね。少々お時間を頂けますか？
16,,俺,急いでるんですが…
17,,店員,こちら、作ってからだいぶ時間がたってしまったので、注文された方には出来立ての新しいものをお作りしているんです。
18,,俺,いや、いい！これでいい！これをください！
19,,,俺の剣幕に、店員は少し戸惑った顔を見せる。
20,,店員,えっ？ですが作り立てのほうが…
21,,俺,いいから！時間がないんだ！俺にはこれが最高なんだ！頼む！
22,,,俺はカウンターに身を乗り出し、懇願するように頼んだ。
23,,店員,そこまで言われたら…
24,,,"店員は苦笑しつつ、箱を差し出す。
"
25,,,中から現れたのは宝石のような苺が並ぶ超高級ホールケーキ。
26,,俺,うおお……眩しい！
27,,,"値段は見ない。全財産使い切ったっていい。
"
28,,,外のベンチに腰を下ろし、箱を開く。甘い香りが鼻をとろけさせる。
29,,俺,おおおおお……俺の人生で一番光ってるケーキだ！
30,,,フォークを握りしめ、構える。
31,,俺,これが、最後の武器……！
32,,,ひと口、ぱくっ。
33,,俺,うまぁぁぁぁ！ 砂糖の暴力だ！ でもいい！ 今、幸せだ！
34,,隣の女性,お兄さん！？ そんなペースで食べたら胃が――
35,,俺,胃もたれ？ 怖くない！ どうせすぐに死ぬんだからなッ！
36,,,二口、三口。ケーキはどんどん減っていく。
37,,俺,甘さで脳がシビれる！ でもフォークが止まらねぇぇ！
38,,,隣の女性は半泣きだ。
39,,隣の女性,やめて！本当に倒れるから！
40,,,",,,,,ありがとう。でも今は譲れないんだ。"
41,,マイペースな女性,"わかるわぁ,,,,,,私も昔やけ食いでホールケーキ完食しようとしたのよねぇ。"
42,,,".....今はケーキに夢中なのだ。構っている暇はない。
"
43,,,半分、三分の二。残り時間と同じように、ケーキも消えゆく。
44,,俺,"よし、最後の一口。これで人生を完食,,,！"
45,,,そして。
46,,,フォークを構えたまま、世界が暗くなっていく。
47,,,イチゴは口に届かず、宙に浮く。
48,,俺,え、ちょ……せめて後一口食わせろおおお！
49,,,焦る気持ちも、口の中に広がる甘ったるさも、霞に溶けていった。
50,,,ーーNORMAL END
