ID,Command,CharacterName,Sentence
1,,,俺の寿命、あとわずか――。
2,,,もうどうせ死ぬ。ならば、最後にやらかしてやろう。
3,,,やってはいけないことほど、やりたくなるのが人間の性だろう？
4,,,今さら警察の世話になる心配もない。
5,,,失うものなんて何もないんだ！
6,,,俺は目の前のコンビニに駆け込んだ。
7,,,今日この瞬間、俺は法を越える……！
8,,,棚の前で仁王立ちし、目に付いた飲み物をひっつかむ。
9,,,そして、自動ドアを抜けた、その瞬間――
10,,警官,はい、ストップ。坊主、今お会計してないよな？
11,,,"はい、エンカウント。
"
12,,,なんでピンポイントでいるんだよ！
13,,警官,"いや、その年で迷いなくビールのロング缶持ってたら、誰でも見るわ
"
14,,,ハッと右手を見れば、キンキンに冷えたロング缶。
15,,,コンビニで未成年はビール買えないよな。
16,,警官,"そもそもパジャマにサンダルで来たら目立つ自覚はなかったのか？
"
17,,,"ぐうの音も出ない。
"
18,,,――逃げろ！
19,,警官,おい待て！ これ以上罪を増やすな！後で後悔するのは坊主なんだぞ
20,,,後悔する前に死ぬからな！
21,,警官,顔を一切隠さず万引きして逃げるとか、大胆だな！？
22,,,"捕まる前に死ぬからな!

"
23,,,生涯最後の全力疾走。
24,,,風を切る爽快感。ああ、これこそが自由……！
25,,,でも、背後から聞こえる声が、俺を確実に追いかけてくる――。
26,,,ふと目の前の信号を見ると――赤。
27,,,警官も俺も、信号で同時に足を止める。息を切らし、目が合う。
28,,,まだ策はある。
29,,,俺は警官に向けてビール缶を開けた。
30,,俺,これでもくらえ
31,,警官,ぎゃああぁぁぁぁ
32,,,逃げている間に振り続けていたビールが噴き出し、警官の顔にクリティカルヒット！！
33,,,ついに警官から逃げ切った。
34,,,俺はこの国の法のしがらみから解放されたのだ！
35,,,達成感を全身に感じながら目の前が暗くなっていく。
36,,,そこで気づいた。
37,,,――律儀に信号で止まる必要、なかったじゃん。
38,,,ーーNORMAL END
