ID,Command,CharacterName,Sentence
1,,,考えるより先に、指が答えた。
2,,俺,最期にやること？ソシャゲの推しに全財産ベットするに決まってんだろーが！！
3,,,俺の財産のほとんどは口座に入っている。スマホひとつで、ありったけの全財産を一瞬にして課金できるのだ。
4,,俺,……よし！これで……これで全部チャージ完了だぁぁ！！
5,,,残りのガチャ石の桁数が跳ね上がる。
6,,,数字を見ただけで、脳に甘美なドーパミンが走る。
7,,俺,行くぞ……推しよ、来い！！
8,,,"指が画面を叩く。
"
9,,,ガチャ演出――青い扉。光は弱い。
10,,俺,クソッ、ハズレか！
11,,,"再び指を叩く。
"
12,,,金色の扉。期待が走る――すり抜け★4。
13,,俺,ぐぬぬぬ……！
14,,,"さらに回す。
"
15,,,虹色の光！期待が爆発！
16,,俺,きたか！？推しか！？
17,,,出てきたのは筋肉モリモリの知らないオッサン。
18,,俺,誰ぇぇぇ！？！？
19,,,"ガチャ石はどんどん減っていく。


"
20,,,扉は開く。光る。砕ける。
21,,,だが推しは現れない。
22,,俺,クソッ……俺の全財産が……！
23,,,額に汗がにじむ。呼吸も荒くなる。
24,,,"残りわずか。最後のカード。
"
25,,俺,頼む……これで……これで来てくれ……！
26,,,"震える指でタップ。


"
27,,,演出がゆっくり始まる。
28,,,光る扉。金色。さらに虹色へ――！
29,,俺,よしッ！今度こそ！！！
30,,,"画面が弾け、キャラが現れる。……推しではなかった。
"
31,,,……推しではなかった。
32,,俺,……っ……
33,,,"だが、笑みがこぼれる。
"
34,,,ここまで全力を尽くした。金も、時間も、魂も全部燃やした。
35,,,画面の中で、推しは変わらず微笑んでいる。
36,,,拝啓、推しへ―――
37,,俺,……見てたよな。俺が本気出したってこと。
38,,,スマホを胸に抱いた瞬間、世界が暗転した。
39,,,ーーNORMAL END
