ID,Command,CharacterName,Sentence
1,,,俺は悟った。
2,,,人は結局「愛」にすがるのだ。
3,,,そうだ、付き合わなきゃ。
4,,,どうせ死ぬなら恋人がほしい！
5,,,俺は近くにいた子に駆け寄った。
6,,俺,俺と付き合ってくれ！
7,,女の子,え？ごめんなさい、てか君誰？
8,,,ダメか！？いや、誰でもいい！
9,,俺,俺と付き合ってください！
10,,指輪を付けている女性,いや、私既婚者よ？
11,,俺,俺と付き合って！
12,,ガタイの良いお兄さん,すまん、そっちの趣味はない
13,,俺,俺と付き合えや！
14,,女番長っぽい人,あん？パジャマ脱いでから出直してこい
15,,,"ダメだ。時間がない。俺は必死に辺りを見回した。
"
16,,,――そして奇跡は起きた。
17,,,曲がり角から、一人のセーラー服を着た女の子が現れたのだ。
18,,,それはクラスメイトだった。
19,,俺,君だ！！俺と付き合ってくれ！！
20,,,その子は目を丸くして、そして――頬をほんのり赤く染めた。
21,,セーラー服の子,……わ、わたしも……ずっと前から好きでした
22,,,えっ、マジ！？ついに来た！？
23,,俺,ありがとう！ところで……佐藤さんだっけ？
24,,セーラー服の子,はい？違うけど？え・・・
25,,,やばい、時間がない。
26,,,恋人になったら絶対にやりたい事があったんだ。
27,,俺,キスをしてくれ！！
28,,セーラー服の子,はあ！？名前も知らない相手に即キス！？ふざけないで！
29,,,"――バシィッ！！
"
30,,,平手打ちが炸裂。俺は回転しながら地面に沈んだ。
31,,セーラー服の子,最低！こんな人だなんて知らなかった！
32,,,俺は頬を腫らしながら悟った。
33,,,人は結局、薄っぺらい愛の先へは進めないのだ。
34,,,それでも、俺は最後の力を振り絞って叫んだ。
35,,俺,せめて……名前だけでも！！
36,,セーラー服の子,絶対に教えない！！
37,,,再び平手打ちをくらい、視界が真っ暗に染まった。
38,,,ーーNORMAL END
