ID,Command,CharacterName,Sentence
1,,,俺は悟った。人は結局「愛」にすがるのだ。そうだ、付き合わなきゃ。どうせ死ぬなら恋人がほしい！俺は近くにいた子に駆け寄った。
2,,俺,俺と付き合ってくれ！
3,,女の子,え？ごめんなさい、てか君誰？
4,,,ダメか！？いや、誰でもいい！
5,,俺,俺と付き合ってください！
6,,指輪を付けている女性,いや、私既婚者よ？
7,,俺,俺と付き合って！
8,,ガタイの良いお兄さん,すまん、そっちの趣味はない
9,,俺,俺と付き合えや！
10,,女番長っぽい人,あん？パジャマ脱いでから出直してこい
11,,,"ダメだ。時間がない。俺は必死に辺りを見回した。――そして奇跡は起きた。曲がり角から、一人のセーラー服を着た女の子が現れたのだ。それはクラスメイトだった。
"
12,,俺,君だ！！俺と付き合ってくれ！！
13,,,その子は目を丸くして、そして――頬をほんのり赤く染めた。
14,,セーラー服の子,……わ、わたしも……ずっと前から好きでした
15,,,えっ、マジ！？ついに来た！？
16,,俺,ありがとう！ところで……佐藤さんだっけ？
17,,セーラー服の子,はい？違うけど？え・・・
18,,,やばい、時間がない。恋人になったら絶対にやりたいことがあったんだ。
19,,俺,キスをしてくれ！！
20,,セーラー服の子,はあ！？名前も知らない相手に即キス！？ふざけないで！
21,,,"――バシィッ！！平手打ちが炸裂。俺は回転しながら地面に沈んだ。
"
22,,セーラー服の子,最低！こんな人だなんて知らなかった！
23,,,俺は頬を腫らしながら悟った。人は結局、薄っぺらい愛の先へは進めないのだ。それでも、俺は最後の力を振り絞って叫んだ。
24,,俺,せめて……名前だけでも！！
25,,セーラー服の子,絶対に教えない！！
26,,,再び平手打ちをくらい、視界が真っ暗に染まった。
27,,,ーーNORMAL END
