ID,Command,CharacterName,Sentence,,,,,
,PLAY_BGM:俺たちの戦いはこれからだ！,
1,,,俺が目を覚ますと、天井から光が差していた。,,,,,
2,,,いや、天井自体は普通なのに、その光の中に誰かがいた。,,,,,
3,,神様,お主……ようやく目覚めたかのう,,,,,
4,,俺,え、誰！？,,,,,
,SHOW_PORTRAIT:GOD1,,,,,,,,,
5,,神様,神様じゃ。お主にどうしても伝えねばならぬことがあっての,,,,,
6,,,目の前の神様（？）に目を丸くしていると、そいつは続けた。,,,,,
7,,神様,お主の寿命は、残り1分じゃ,,,,,
9,START_TIMER,,
8,,俺,は？なんて？,,,,,
9,,神様,右上のタイマーを見よ。今儂らが話している間にも、確実に減っておる。その数字がお主の寿命じゃ。後悔せぬよう過ごすがよい,,,,,
,HIDE_PORTRAIT,,,,,,,,,
,LABEL:SELECT,,,,,,,
10,,,理解が追い付かないまま、俺は,,,,,
11,CHOICE:リビングに向かう,LBL_LIVING,窓から外に出る,LBL_WINDOW,ベッドに戻る,LBL_BED
12,LABEL:LBL_LIVING,,,,,,,
,CHANGE_BG:リビング,,,,,,,
,SET_TEXT:リビング,,
13,,,とりあえずリビングに向かう。,,,,,
14,,,時間が全然ない。残り僅かな寿命で何をしようか,,,,,
15,CHOICE:母に電話をかける,LBL_MOTHER,全財産でガチャだ！！,LBL_GACHA
,LABEL:LBL_MOTHER,,,,,,,
,LOAD_SCENE:Denwa,,,,,,,
,LABEL:LBL_GACHA,,,,,,,
,LOAD_SCENE:Gacha,,,,,,,
12,LABEL:LBL_WINDOW,,,,,,,
21,,,ドアから外に出る時間もない！俺は窓から家を飛び出した。
,CHANGE_BG:住宅,,,,,,,
,SET_TEXT:住宅街,,
22,,,庭にあったサンダルを履く。さて残り僅かな寿命で何をしようか,,,,,
23,CHOICE:恋愛をしたい！,LBL_LOVE,いっそのこと万引きだ！,LBL_MANBIKI,ホールケーキを食べたい！,LBL_CAKE,神様を調べるぜ！,LBL_GOD
24,LABEL:LBL_LOVE,,,,,,,
25,LOAD_SCENE:Kokuhaku,,,,,,,
26,LABEL:LBL_MANBIKI,,,,,,,
27,LOAD_SCENE:Manbiki,,,,,,,
28,LABEL:LBL_CAKE,,,,,,,
29,LOAD_SCENE:HoleCake,,,,,,,
30,LABEL:LBL_GOD,,,,,,,
31,LOAD_SCENE:Jinjya,,,,,,,
32,LABEL:LBL_BED,,,,,,,
99,JUMP_IF_LAST_SECOND:Secret
,SHOW_PORTRAIT:GOD1,,,,,,,,,
22,,,アホかお主、何をしておるのじゃ、寿命がもうないんじゃぞ,,,,,
,HIDE_PORTRAIT,,,,,,,,,
11,CHOICE:リビングに向かう,LBL_LIVING,窓から外に出る,LBL_WINDOW
,LABEL:Secret
33,LOAD_SCENE:TrueEnd
,STOP_BGM,
