ID,Command,CharacterName,Sentence
1,,,この寿命を押し付けてきた神様の事を知ろうと思った。
2,,,もしかしたら、この寿命をどうにかできるかもしれない
3,,,"——その望みに、どうしても縋りたかったのだ。


"
4,,,俺は口を開く。
5,,俺,お前、どういう神様なんだ？
6,,,すると神様は笑いながら言った。
7,,神様,儂の事が書いてある神社がそこにあるから見ていくかの？フォッフォッ
8,,,神社には看板がたてられていた
9,,,[文献を一分のあひだに余すことなく読み尽くさんか、必ずや超越の智識を授かるべし]
10,,,つまり、この書斎にある文献を１分以内にすべて目を通せば神様の知識を得ることができるということなのだろう。
11,,,は？この量をか？
12,,神様,読まずとも良いぞ。目を通しきればよい。そんなに時間があるか知らんがのう
13,,俺,くそったれ！
14,,,時守神社由緒記
15,,,時守神社（ときもりじんじゃ）は、古来より「時の流れ」を司る神をお祀りする社でございます。社伝によれば、平安の御世、この地に暦を司る陰陽師が訪れ、時の乱れを鎮めるべく一祠を築いたのが始まりと伝えられております。
16,,,当時は飢饉や病が相次ぎ、人々は「時の巡りが狂った」と恐れました。そこで祈りを込めて祀られたのが、今に続く時守大明神であります。
17,,,当社の御祭神「時守大明神」は、古き文献には名を見出すことはできませぬが、里人は昔より「時を護り、時を導く神」として尊んでまいりました。その御神徳は三つに分けられます。
18,,,"一、失われた刻を取り戻すこと二、良き時を早めて縁や成果を結ぶこと三、命の刻を延ばし、長寿を授けることこの三徳をもって「時を司る神」と仰がれております。


"
19,,,境内にございます「逆さ時計石」は、当社を象徴する霊石でございます。石の表には正しく進む十二支刻が、裏には逆さに巡る刻が刻まれております。表を撫でれば遅れを取り戻し、裏を撫でれば寿命を延ばす祈りが叶うと伝えられております。
20,,,また、神門の脇に聳える榎は「止まり木」と称され、かつて時を止めた鳥が羽を休めたと伝わり、参拝者はこの榎に「時が穏やかに流れるように」と祈念してまいりました。
21,,,当社最大の祭礼は、毎年旧暦十月に斎行される「時送りの大祭」でございます。参拝者は蝋燭に火を灯し、砂時計に砂を注ぎ、過ぎし時を浄め、新たな一刻を迎えるとされております。
22,,,この祭礼は、人生の転機を控えた人々が「良き時を逃さぬように」と祈りを捧げる場ともなっております。また、古くから幾つもの言い伝えが残されております。ある旅人が当社に参り、死期を七日延ばされたと申します。
23,,,またある商人は祈願の夜に大商いを成し、一夜にして家を興したとも伝わります。けれども同時に、「調律なき祈りは悪霊を招く」との戒めも残されております。時を操る神は、人の願いを叶えると同時に、その心をも映し出すのでございます。
24,,,現代においても当社は、進学、就職、縁談、長寿など「人生の節目に時を逃さぬ」祈りの場として多くの参拝者を集めております。特に若い方々の間では「チャンスを呼ぶ神社」として知られ、遠方よりの参拝も絶えませぬ。願わくは参拝の折、それぞれの胸にある「刻」を大切に思い、未来への一歩をお進みいただけますように。
25,,,"長い、長すぎる。

"
26,,,"目を通しきることができるのだろうか。

"
27,,,中身の意味をすべて把握する意味はない。
28,,,目標を達成する事が大事なんだ！急げ！！
29,,,時間信仰と地域社会 ―時守神社の事例研究―
30,,,日本列島における神社信仰は、農耕儀礼や自然崇拝を基盤としつつ、多様な変容を遂げてきた。その中でも「時間」を直接の祭祀対象とする信仰は稀少であり、全国的に見ても顕著な事例は限られている。本稿では、○○県△△郡に所在する「時守神社」を取り上げ、その成立背景、信仰形態、地域社会における役割について考察を試みる。
31,,,創建は平安中期に遡るとされ、当時の改暦や飢饉・疫病により「時の乱れ」が意識されたことが背景にある。『□□旧記』（鎌倉期写本）には「陰陽師□□、此地に於いて時の気を鎮むる社を営む」との記述が見え、王権の暦術的支配と民間信仰とが結びついた事例と理解される。
32,,,時守神社の主祭神「時守大明神」は、古典文献には登場しない善神である。その神格は、時間を「延ばす／縮める」という二面的な性質を備える点に特徴がある。
33,,,口碑によれば、死期を先延ばしにする「延時（えんじ）」の神、成就の刻を早める「促時（そくじ）」の神としての両義性を持つ。これは農耕儀礼における「播種の適時」「収穫の適期」といった時間管理の切実さと深く結びついていると考えられる。
34,,,内には象徴的信仰対象が存在する。「逆さ時計石」は順行と逆行の十二支刻を刻み、参拝者は願意に応じて撫でることで「取り戻し」あるいは「先送り」を祈願する。また神門脇の榎「止まり木」は、鳥が時を止めて羽を休めたと伝承され、自然物信仰の一例として注目できる。
35,,,口承資料には多様な時神譚が残る。時守神社の大祭「時送り」は、旧暦十月に行われる。参拝者は蝋燭を捧げ、砂時計に砂を注ぐ所作を通じて「過ぎし時間を清め、新たな一刻を呼ぶ」とされる。これは農耕の収穫後に行われる点で、単なる個人祈願にとどまらず、共同体全体の時間感覚を更新する儀礼的意味を有する。
36,,,さらに近世以降は、受験・就職・縁談など「人生の転機」を支える神徳が強調されるようになり、「時機を逸せず」という近代的合理精神とも結びついて信仰が継続したことが確認できる。
37,,,また、祭礼に際しては「眠りを整えることこそ、新たな刻を迎える備えである」とも説かれてきた。十分な眠りは一日の労苦を浄め、明日への活力を生むものとされ、蝋燭の炎が消える瞬間を「眠りに落ちる比喩」として捉える習俗もある。すなわち時送りは、過ぎ去る時間を祓うだけでなく、眠りを通じて心身を調律し、次の一刻に向けて人々を整える儀礼であった。
38,,,たとえば、江戸期の随筆『□□雑記』には「参詣の旅人、死期を七日延ばされた」という逸話が見える。また明治期の新聞記事には「参詣した商人、一夜にして大商いを成す」との報告が掲載されている。これらは単なる奇譚として片づけるべきではなく、地域社会における「時間の操作」という願望の表現形態として理解されるべきである。
39,,,一方で、同地には「調律なき祈りは悪霊を招く」という警句も残り、時間信仰の両義性と倫理的制約を物語っている。
40,,,さらに、当地には「一秒の教え」と呼ばれる口伝が伝わる。それは「人の運命は最後の一秒にこそ定まるゆえ、残された一秒をどう生きるかを忘れてはならぬ」というものである。老いた僧が「たとえ九十九歩が無駄に思えようとも、最後の一歩で辿り着ける」と説いたとも、また里の母が子へ「一秒を粗末にすれば一生を粗末にする」と諭したとも語られる。
41,,,すなわち時守神社の信仰は、時を伸ばす・縮めるという超自然的な力を祈るのみならず、人が与えられた最後の瞬間を尊び行動することの大切さを伝えているのである。
42,,,時守神社は、単なる宗教施設にとどまらず、地域共同体における「時間規範の調整装置」として機能してきた。農事暦・冠婚葬祭の適期、さらには個人のライフステージにおける節目の調整に関わることで、共同体の秩序を維持したと考えられる。現代においても、進学試験や就職活動の合格祈願、病気平癒や延命祈願といった形で「時を司る」神徳は生き続けている。
43,,,特に近年は観光資源としての再評価も進み、メディアに取り上げられることで「時を戻す神社」として新たな信仰層を獲得している。
45,,,以上の検討から、時守神社は「時間」という普遍的で抽象的な概念を、物質的象徴や儀礼的行為を通じて具象化し、共同体の生活に根づかせてきた事例であることが明らかとなった。その信仰は時代ごとに変容しつつも、常に人間の「時機」への希求を反映し続けてきたと言える。
46,,,今後の課題としては、他地域における「時の神」信仰との比較研究、および近代以降の観光化・商業化の影響を視野に入れた分析が必要である。
