ID,Command,CharacterName,Sentence,
,,,"最期に伝えるべきはやっぱり「母への感謝」だ。今まで反抗ばっかりしてきたけど、こんな時くらいは――電話だ！母さんは今実家にいるはず！！


",
,,,受話器を握りしめ、発信ボタンを押す。……プルルル、プルルル、ガチャッ、ブチッ。切られた。,
,,,ちょ、待て待て、息子のラストコールなんですけど！？,
,CHOICE:電話をもう一度かける,LBL_RECALL1,諦める,LBL_GIVEUP
,LABEL:LBL_RECALL1,,,
,,,"慌ててかけなおす。プルルル……ガチャッ。
",
,,母,今テレビＣＭ明けだから！,
,,,ブチッ。テレビ＞息子　母さんの優先順位は明確だった。,
,CHOICE:電話をもう一度かける,LBL_RECALL2,諦める,LBL_GIVEUP
,LABEL:LBL_RECALL2,,,
,,,"再び発信。プルルル……ガチャッ。
",
,,母,宅配便来た！待って,
,,,"ブチッ。……母さん、俺の命が今天国に届けられようとしているのですよ？
",
,CHOICE:電話をもう一度かける,LBL_RECALL3,諦める,LBL_GIVEUP
,LABEL:LBL_RECALL3,,,
,,,"諦めてたまるものか！！プルルル……ガチャッ。
",
,,母,味噌汁が勝手に！,
,,,ブチッ。いや、味噌汁に何があった！？,
,CHOICE:電話をもう一度かける,LBL_RECALL4,諦める,LBL_GIVEUP
,LABEL:LBL_RECALL4,,,
,,,まだだ・・・プルルル……ガチャッ。,
,,母,……あんた？何度もどうしたの？,
,,,ついにしっかり反応してくれた。,
,CHOICE:ぶちぎれる,LBL_ANGRY,感謝を伝える,LBL_THANKYOU
,LABEL:LBL_THANKYOU,,,
,,,俺,母さん……今までありがとう！
,,,,"沈黙。そして母さんの返事は――
"
,,,母,……何やらかしたの？お金いるの？
,,,,……俺の最期の感謝は完全にお金の無心と誤解された。
,,,俺,ち、ちがっ……！
,,,,"必死に伝えようとするが、焦りからか言葉は喉でからまる。真っ暗になる視界の中で、俺は思った。
"
,,,,――母さんはもっと俺を信用しろ・・・
,,,,ーーNORMAL END
,LABEL:LBL_GIVEUP,,,
,,,"母は今電話に出る気がないのだろう。普段から母に感謝を伝えるべきだったのだ。電話をかけなおす気力もでないまま時間が過ぎ去っていった。
",
,LOAD_SCENE:NOTIME,,,
,LABEL:LBL_ANGRY,,,
,,,俺,なんでさっきから切ってばっかなんだよ！
,,,,残り寿命がない中こっちは電話かけているんだぞ！
,,,母,あんたがいつもやっている事をやってんのよ
,,,,"ガチャッ。電話が切れた。何度かけなおしても母が電話に出ることはなかった。
"
,LOAD_SCENE:NOTIME,,,
